Date_Start_Date,Project_Size,Project_Cost
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/24/2017,0,0
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,1,1
4/25/2017,309667,0
4/25/2017,309667,0
4/25/2017,309667,0
4/25/2017,309667,0
4/25/2017,309667,0
4/26/2017,0,0
4/26/2017,0,0
4/26/2017,0,0
4/26/2017,1,1
4/26/2017,1,1
4/26/2017,1,1
4/26/2017,0,0
4/26/2017,1,1
4/26/2017,1,1
4/27/2017,0,0
4/27/2017,0,0
4/27/2017,0,0
4/27/2017,0,0
4/27/2017,0,0
4/27/2017,0,0
4/27/2017,0,0
4/27/2017,0,0
4/27/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/1/2017,0,0
5/2/2017,0,0
5/2/2017,0,0
5/2/2017,0,0
5/2/2017,0,0
5/2/2017,0,0
5/2/2017,0,0
5/2/2017,0,0
5/2/2017,0,0
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,1,1
5/2/2017,0,0
5/2/2017,0,0
5/5/2017,0,0
5/5/2017,0,0
5/5/2017,0,0
5/5/2017,0,0
5/5/2017,0,0
5/8/2017,90000,27000
5/8/2017,90000,27000
5/8/2017,90000,27000
5/8/2017,90000,27000
5/8/2017,90000,27000
5/8/2017,90000,27000
5/8/2017,90000,27000
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,90000,27000
5/8/2017,90000,27000
5/8/2017,0,0
5/8/2017,0,0
5/8/2017,0,0
5/9/2017,1,1
5/9/2017,1,1
5/9/2017,1,1
5/10/2017,0,1
5/10/2017,0,1
5/10/2017,0,1
5/10/2017,0,1
5/10/2017,0,1
5/10/2017,0,1
5/10/2017,0,1
5/11/2017,0,0
5/11/2017,0,0
5/11/2017,0,0
5/11/2017,0,0
5/11/2017,0,0
5/11/2017,0,0
5/11/2017,0,0
5/11/2017,0,0
5/11/2017,0,0
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,1,1
5/12/2017,0,0
5/12/2017,0,0
5/12/2017,0,0
5/12/2017,0,0
5/12/2017,0,0
5/12/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/15/2017,0,0
5/16/2017,1,1
5/16/2017,1,1
5/16/2017,1,1
5/16/2017,1,1
5/16/2017,1,1
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,0,0
5/17/2017,1,1
5/17/2017,1,1
5/17/2017,1,1
5/18/2017,5000,1000000
5/18/2017,5000,1000000
5/18/2017,5000,1000000
5/18/2017,5000,1000000
5/18/2017,5000,1000000
5/18/2017,5000,1000000
5/18/2017,5000,1000000
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/18/2017,1,1
5/19/2017,1000000,100000000
5/19/2017,0,0
5/19/2017,0,0
5/19/2017,0,0
5/19/2017,0,0
5/21/2017,0,0
5/21/2017,0,0
5/23/2017,50,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
5/24/2017,0,0
