Date_Start_Date,Project_Cost,Project_Size
11/22/2017,1,1
11/22/2017,1,1
11/22/2017,1,1
11/22/2017,1,1
11/22/2017,1,1
11/22/2017,1,1
11/27/2017,1,1
11/27/2017,1,1
11/27/2017,1,1
11/28/2017,1,1
11/28/2017,1,1
11/28/2017,1,1
11/28/2017,1,1
11/28/2017,2500000,10820
11/29/2017,1,1
11/29/2017,1,1
11/29/2017,1,1
11/29/2017,1,1
11/29/2017,1,1
11/29/2017,1,1
11/30/2017,1000000,5000
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/1/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/5/2017,1,1
12/7/2017,1,1
12/7/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,18000000,47136
12/11/2017,18000000,47136
12/11/2017,1,1
12/11/2017,18000000,47136
12/11/2017,18000000,47136
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,18000000,47136
12/11/2017,18000000,47136
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/11/2017,1,1
12/12/2017,1000000,1000000
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/12/2017,1,1
12/13/2017,1,1
12/13/2017,1,1
12/13/2017,1,1
12/15/2017,1,1
12/15/2017,1,1
12/15/2017,1,1
12/15/2017,1,1
12/18/2017,1,1
12/21/2017,10000000,10000
12/26/2017,1,1
12/26/2017,1,1
12/26/2017,1,1
12/26/2017,1,1
12/26/2017,1,1
12/26/2017,1,1
12/26/2017,1,1
12/27/2017,1,1
12/27/2017,1,1
12/27/2017,1,1
12/28/2017,1,1
12/28/2017,1,1
12/28/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
12/29/2017,1,1
