Date_Last_Change,Project_Cost,Project_Size
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:02,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:02,1000000,5000
2020-01-13 21:12:02,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:02,1000000,5000
2020-01-13 21:12:02,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:17,1000000,5000
2020-01-13 21:12:02,1000000,5000
2019-10-03 09:27:31,1,1
2019-10-03 09:27:31,1,1
2019-10-03 09:27:31,1,1
2019-10-03 09:27:31,1,1
2019-10-03 09:27:31,1,1
2017-08-08 15:08:27,0,0
2017-08-08 15:08:27,0,0
2017-08-08 15:08:27,0,0
2017-08-08 15:08:27,0,0
2018-01-06 15:41:44,0,0
2018-01-06 15:41:44,0,0
2018-01-06 15:41:44,0,0
2017-06-21 15:16:41,0,0
2017-06-21 15:16:41,0,0
2017-06-21 15:16:41,0,0
2017-07-13 15:58:19,0,0
2018-06-21 21:07:31,1,1
2018-06-21 21:07:31,1,1
2018-06-21 21:07:31,1,1
2018-06-21 21:07:31,1,1
2018-06-21 21:07:31,1,1
2018-06-21 21:07:31,1,1
2018-06-21 21:07:31,1,1
2018-06-21 21:07:31,1,1
2017-07-24 15:43:20,0,0
2017-07-24 15:43:20,0,0
2017-06-21 14:03:44,0,0
2017-06-21 14:03:44,0,0
2017-06-21 14:03:44,0,0
2017-06-21 14:03:44,0,0
2017-07-26 12:02:34,0,0
2017-07-26 12:02:34,0,0
2017-07-26 12:02:34,0,0
2017-07-26 12:02:34,0,0
2017-07-26 12:02:34,0,0
2017-07-26 12:02:34,0,0
2017-09-06 08:04:15,0,0
2020-03-27 14:21:44,7000000,28000
2020-03-27 14:21:44,7000000,28000
2020-03-27 14:21:44,7000000,28000
2017-09-06 08:04:15,0,0
2017-09-06 08:04:15,0,0
2018-09-14 08:56:23,1,1
2018-09-14 08:56:23,1,1
2018-09-14 08:56:23,1,1
2018-09-14 08:56:23,1,1
2017-10-04 11:10:52,0,0
2017-06-23 14:06:06,0,0
2017-06-23 14:06:06,0,0
2017-06-23 14:06:06,0,0
2017-08-09 08:43:11,0,0
2018-07-27 17:51:17,1,1
2018-07-27 17:51:17,1,1
2018-07-27 17:51:17,1,1
2018-07-27 17:51:17,1,1
2018-07-27 17:51:17,1,1
2017-12-11 11:21:20,0,0
2017-10-25 07:59:32,0,0
2017-10-25 07:59:32,0,0
2017-10-25 07:59:32,0,0
2017-10-25 07:59:32,0,0
2017-10-25 07:59:32,0,0
2017-07-24 16:01:29,0,0
2017-07-24 16:01:29,0,0
2017-07-24 16:01:29,0,0
2017-07-24 16:01:29,0,0
2017-07-20 11:04:07,0,0
2017-07-20 11:04:07,0,0
2017-07-20 11:04:07,0,0
2017-07-20 11:04:07,0,0
2017-07-20 11:04:07,0,0
2017-07-20 11:04:07,0,0
2017-09-14 16:54:19,0,0
2017-09-14 16:54:19,0,0
2017-09-14 16:54:19,0,0
2017-09-14 16:54:19,0,0
2017-09-14 16:54:19,0,0
2017-09-14 16:54:19,0,0
2017-09-14 16:54:19,0,0
2017-09-14 16:54:19,0,0
2017-07-12 16:12:40,0,0
2017-07-12 16:12:40,0,0
2017-07-12 16:12:40,0,0
2017-07-12 16:12:40,0,0
2017-07-12 16:12:40,0,0
2018-03-01 13:05:38,1,1
2018-03-01 13:05:38,1,1
2018-03-01 13:05:38,1,1
2018-03-01 13:05:38,1,1
2018-03-01 13:05:38,1,1
2018-03-01 13:05:38,1,1
2018-03-01 13:05:38,1,1
2019-05-03 10:20:05,1,1
2019-05-03 10:20:05,1,1
2019-05-03 10:20:05,1,1
2019-05-03 10:20:05,1,1
2019-05-03 10:20:05,1,1
2019-05-03 10:20:05,1,1
2019-05-03 10:20:05,1,1
2019-02-06 14:54:40,0,309667
2019-02-06 14:54:40,0,309667
2019-02-06 14:54:40,0,309667
2019-02-06 14:54:40,0,309667
2019-02-06 14:54:40,0,309667
2018-02-05 10:44:44,0,0
2018-02-05 10:44:44,0,0
2018-02-05 10:44:44,0,0
2018-03-15 10:46:37,1,1
2018-03-15 10:46:37,1,1
2018-03-15 10:46:37,1,1
2018-02-05 10:44:44,0,0
2018-03-15 10:46:37,1,1
2019-06-14 12:48:38,1,1
2017-08-25 12:31:33,0,0
2017-08-25 12:31:33,0,0
2017-08-18 13:54:29,0,0
2017-08-08 15:00:57,0,0
2017-08-08 15:00:57,0,0
2017-08-08 15:00:57,0,0
2017-08-08 15:00:57,0,0
2017-08-08 15:00:57,0,0
2018-02-22 15:39:57,0,0
2018-02-15 10:42:52,0,0
2017-10-16 15:14:35,0,0
2017-11-30 16:57:27,0,0
2017-10-16 15:14:35,0,0
2017-11-30 16:57:27,0,0
2017-11-30 16:57:27,0,0
2017-10-16 15:14:35,0,0
2018-02-15 10:42:52,0,0
2018-02-15 10:42:52,0,0
2017-11-30 16:57:27,0,0
2017-10-16 15:14:35,0,0
2018-02-15 10:42:52,0,0
2017-11-16 13:06:13,0,0
2018-04-16 16:47:30,0,0
2018-04-16 16:47:30,0,0
2017-11-16 13:06:13,0,0
2017-11-16 13:06:13,0,0
2018-04-16 16:47:30,0,0
2018-04-16 16:47:30,0,0
2017-11-16 13:06:13,0,0
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2019-05-16 11:55:07,1,1
2017-07-17 15:29:53,0,0
2017-07-17 15:29:53,0,0
2017-08-15 12:25:20,0,0
2017-08-15 12:25:20,0,0
2017-08-15 12:25:20,0,0
2017-08-15 12:25:20,0,0
2017-08-15 12:25:20,0,0
2018-04-19 14:35:29,27000,90000
2018-04-19 14:35:29,27000,90000
2018-04-19 14:35:29,27000,90000
2018-04-19 14:35:29,27000,90000
2018-04-19 14:35:29,27000,90000
2018-04-19 14:35:29,27000,90000
2018-04-19 14:35:29,27000,90000
2017-12-07 14:13:36,0,0
2017-12-07 14:13:36,0,0
2017-12-07 14:13:36,0,0
2017-12-07 14:13:36,0,0
2017-12-07 14:13:36,0,0
2017-12-07 14:13:36,0,0
2017-12-07 14:13:36,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2017-12-11 08:28:00,0,0
2018-04-19 14:35:29,27000,90000
2018-04-19 14:35:29,27000,90000
2017-10-24 11:32:21,0,0
2017-10-24 11:32:21,0,0
2017-10-24 11:32:21,0,0
2018-10-22 16:34:54,1,1
2018-10-22 16:34:54,1,1
2018-10-22 16:34:54,1,1
2018-12-12 10:41:10,1,0
2018-12-12 10:41:10,1,0
2018-12-12 10:41:10,1,0
2018-12-12 10:41:10,1,0
2018-12-12 10:41:10,1,0
2018-12-12 10:41:10,1,0
2018-12-12 10:41:10,1,0
2017-12-29 08:54:28,0,0
2017-12-29 08:54:28,0,0
2017-12-29 08:54:28,0,0
2017-12-29 08:54:28,0,0
2017-12-29 08:54:28,0,0
2017-12-29 08:54:28,0,0
2017-12-29 08:54:28,0,0
2017-06-02 13:58:26,0,0
2017-06-02 13:58:26,0,0
2019-03-04 15:57:21,1,1
2019-03-04 15:57:21,1,1
2020-04-13 10:19:55,1,1
2020-04-13 10:19:55,1,1
2020-04-13 10:19:55,1,1
2020-04-13 10:19:55,1,1
2020-04-13 10:19:55,1,1
2017-06-30 08:38:22,0,0
2017-06-30 08:38:22,0,0
2017-06-30 08:38:22,0,0
2017-06-30 08:38:22,0,0
2017-06-30 08:38:22,0,0
2017-06-30 08:38:22,0,0
2017-11-30 18:08:28,0,0
2017-11-30 18:08:28,0,0
2017-11-30 18:08:28,0,0
2017-11-30 18:08:28,0,0
2017-11-30 18:08:28,0,0
2017-11-30 18:08:28,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-06-30 09:01:34,0,0
2017-11-28 10:05:27,1,1
2017-11-28 10:05:27,1,1
2017-11-28 10:05:27,1,1
